GEO_ID,NAME,Total_Pop,Employer_Insurance,Direct_Purchase,Medicare,Medicaid,TRICARE,VA,Uninsured
08059011727,Census Tract 117.27; Jefferson County; Colorado,3818,647,654,612,412,60,27,167
08059011728,Census Tract 117.28; Jefferson County; Colorado,2647,204,380,460,435,60,8,156
08059011729,Census Tract 117.29; Jefferson County; Colorado,4173,223,1649,1491,1591,81,145,204
08059011730,Census Tract 117.30; Jefferson County; Colorado,3322,399,967,809,852,215,95,265
08059011731,Census Tract 117.31; Jefferson County; Colorado,4205,427,1357,1165,1024,72,218,244
08059011732,Census Tract 117.32; Jefferson County; Colorado,5002,213,2999,2210,1775,482,471,341
08059011733,Census Tract 117.33; Jefferson County; Colorado,2330,128,940,822,670,102,57,233
08059011803,Census Tract 118.03; Jefferson County; Colorado,6285,484,2621,2003,1608,184,569,458
08059011804,Census Tract 118.04; Jefferson County; Colorado,4172,384,918,654,688,121,108,232
08059011806,Census Tract 118.06; Jefferson County; Colorado,4866,311,1408,1313,1090,93,289,216
08059011807,Census Tract 118.07; Jefferson County; Colorado,2548,174,1062,913,658,172,41,219
08059011808,Census Tract 118.08; Jefferson County; Colorado,2409,79,1466,1274,1138,225,91,175
08059011904,Census Tract 119.04; Jefferson County; Colorado,3102,248,1168,1036,836,157,66,211
08059011951,Census Tract 119.51; Jefferson County; Colorado,4084,362,988,884,756,9,157,429
08059012022,Census Tract 120.22; Jefferson County; Colorado,5571,850,943,827,828,106,63,222
08059012023,Census Tract 120.23; Jefferson County; Colorado,3002,412,448,424,396,38,44,268
08059012024,Census Tract 120.24; Jefferson County; Colorado,5638,950,757,747,655,60,30,545
08059012026,Census Tract 120.26; Jefferson County; Colorado,3273,288,379,548,490,36,18,453
08059012027,Census Tract 120.27; Jefferson County; Colorado,2792,405,330,288,253,15,0,351
08059012030,Census Tract 120.30; Jefferson County; Colorado,3835,691,345,376,253,60,20,308
08059012031,Census Tract 120.31; Jefferson County; Colorado,3249,581,295,203,116,44,70,310
08059012032,Census Tract 120.32; Jefferson County; Colorado,2603,485,223,281,197,72,0,294
08059012033,Census Tract 120.33; Jefferson County; Colorado,3017,317,769,637,530,86,60,277
08059012034,Census Tract 120.34; Jefferson County; Colorado,4017,692,270,230,162,23,0,446
08059012035,Census Tract 120.35; Jefferson County; Colorado,5038,1250,445,474,375,13,15,349
08059012036,Census Tract 120.36; Jefferson County; Colorado,3153,610,149,257,146,50,19,234
08059012037,Census Tract 120.37; Jefferson County; Colorado,3721,515,383,486,301,37,8,469
08059012038,Census Tract 120.38; Jefferson County; Colorado,3425,556,828,800,590,54,30,106
08059012039,Census Tract 120.39; Jefferson County; Colorado,5227,940,1186,1226,1071,170,45,334
08059012041,Census Tract 120.41; Jefferson County; Colorado,5244,718,784,820,769,30,49,368
08059012042,Census Tract 120.42; Jefferson County; Colorado,3919,480,815,782,893,76,54,296
08059012043,Census Tract 120.43; Jefferson County; Colorado,5829,821,1154,1159,1131,78,45,508
08059012044,Census Tract 120.44; Jefferson County; Colorado,3784,661,836,706,562,173,33,333
08059012045,Census Tract 120.45; Jefferson County; Colorado,5820,1065,971,927,921,89,95,294
08059012046,Census Tract 120.46; Jefferson County; Colorado,1944,309,302,301,323,25,14,116
08059012047,Census Tract 120.47; Jefferson County; Colorado,4312,693,1116,1092,975,139,114,268
08059012048,Census Tract 120.48; Jefferson County; Colorado,2079,272,249,229,279,26,0,72
08059012049,Census Tract 120.49; Jefferson County; Colorado,3511,786,396,382,306,113,0,213
08059012050,Census Tract 120.50; Jefferson County; Colorado,3901,509,968,920,695,221,0,228
08059012051,Census Tract 120.51; Jefferson County; Colorado,4025,819,519,439,435,75,86,325
08059012052,Census Tract 120.52; Jefferson County; Colorado,5672,866,1260,1216,1175,139,0,458
08059012053,Census Tract 120.53; Jefferson County; Colorado,4397,851,922,850,739,67,12,178
08059012054,Census Tract 120.54; Jefferson County; Colorado,3798,676,653,614,500,31,44,301
08059012055,Census Tract 120.55; Jefferson County; Colorado,3685,586,710,830,937,95,35,28
08059012057,Census Tract 120.57; Jefferson County; Colorado,5981,1277,1112,1149,881,83,29,296
08059012058,Census Tract 120.58; Jefferson County; Colorado,3840,478,629,455,461,10,117,192
08059012059,Census Tract 120.59; Jefferson County; Colorado,3551,516,629,471,359,80,31,308
08059012060,Census Tract 120.60; Jefferson County; Colorado,3154,284,1011,1016,899,150,59,200
08059015800,Census Tract 158; Jefferson County; Colorado,4130,180,1571,1347,1168,215,121,123
08059015900,Census Tract 159; Jefferson County; Colorado,3524,268,1076,1008,1111,126,120,444
08059060300,Census Tract 603; Jefferson County; Colorado,4145,660,859,800,807,108,47,368
08059060400,Census Tract 604; Jefferson County; Colorado,6129,1016,2055,1874,1593,305,97,324
08059060501,Census Tract 605.01; Jefferson County; Colorado,11135,3152,1869,1786,1584,139,202,509
08059980000,Census Tract 9800; Jefferson County; Colorado,0,0,0,0,0,0,0,0
08059980400,Census Tract 9804; Jefferson County; Colorado,0,0,0,0,0,0,0,0
08059980700,Census Tract 9807; Jefferson County; Colorado,0,0,0,0,0,0,0,0
08059980800,Census Tract 9808; Jefferson County; Colorado,0,0,0,0,0,0,0,0
